Cluster_ID	Name	DBD	Seed_motif
284	AHR	bHLH	AHR_HUMAN.H11MO.0.B
139	AIRE	not_classified	AIRE_HUMAN.H11MO.0.C
54	AP1/1	bZIP	ATF3_MOUSE.H11MO.0.A
53	AP1/2	bZIP	BACH1_HUMAN.H11MO.0.A
88	ARI5A	ARID	Arid5a_MA0602.1
86	ARI5B	ARID	ARI5B_HUMAN.H11MO.0.C
138	BATF	bZIP	BATF3_HUMAN.H11MO.0.B
169	BCL6/1	C2H2	BCL6B_C2H2_1
170	BCL6/2	C2H2	BCL6_HUMAN.H11MO.0.A
52	CCAAT/CEBP	bZIP	CEBPA_HUMAN.H11MO.0.A
200	CENBP	CENPB	CENPB_CENPB_1
23	CPEB1	RRM	CPEB1_RRM_1
49	CREB/ATF/1	bZIP	ATF1_HUMAN.H11MO.0.B
50	CREB/ATF/2	bZIP	ATF7_MA0834.1
51	CREB/ATF/3	bZIP	ATF4_HUMAN.H11MO.0.A
61	CREB3/XBP1	bZIP	ATF6A_HUMAN.H11MO.0.B
265	CTCF	C2H2	CTCFL_HUMAN.H11MO.0.A
14	CUX/1	CUT	CUX1_CUT_3
16	CUX/2	CUT	CUX1_CUT_2
15	CUX/3	CUT	CUX1_CUT_1
17	CUX/4	CUT	CUX2_MOUSE.H11MO.0.C
215	DDIT3+CEBPA	bZIP	Ddit3+Cebpa_MA0019.1
90	DMRT1	DM	DMRT1_MOUSE.H11MO.0.C
214	DMRT3	DM	DMRT3_MA0610.1
186	E2F/1	E2F	E2F1_E2F_1
156	E2F/2	E2F	E2F1_HUMAN.H11MO.0.A
157	E2F/3	E2F	E2F7_E2F_1
158	E2F/4	E2F	E2F2_HUMAN.H11MO.0.B
174	EBF1	EBF	COE1_HUMAN.H11MO.0.A
68	Ebox/CACCTG	bHLH	FIGLA_MA0820.1
58	Ebox/CACGTG/1	bHLH	ARNTL_bHLH_1
59	Ebox/CACGTG/2	bHLH	CLOCK_HUMAN.H11MO.0.C
63	Ebox/CAGATGG	bHLH	ATOH1_HUMAN.H11MO.0.B
65	Ebox/CAGCTG	bHLH	ASCL1_HUMAN.H11MO.0.A
62	Ebox/CATATG	bHLH	Atoh1.mouse_bHLH_1
111	EGR	C2H2	EGR1_C2H2_1
98	ETS/1	ETS	EHF_ETS_1
96	ETS/2	ETS	EHF_HUMAN.H11MO.0.B
241	EVI1/MECOM	C2H2	EVI1_HUMAN.H11MO.0.B
117	EWSR1/FLI1	ETS	EWSR1-FLI1_MA0149.1
122	FEZF1	C2H2	FEZF1_HUMAN.H11MO.0.C
76	FOX/1	forkhead	FOXH1_HUMAN.H11MO.0.A
77	FOX/2	forkhead	FOXO1_forkhead_2
78	FOX/3	forkhead	FOXI1_forkhead_2
79	FOX/4	forkhead	ANDR_HUMAN.H11MO.0.A
80	FOX/5	forkhead	FOXC1_forkhead_1
87	FOX/6	forkhead	FOXB1_forkhead_2
164	FOX/7	forkhead	FOXO1_forkhead_3
203	FOX/8	forkhead	FOXG1_forkhead_2
279	FOX/9	forkhead	FOXB1_forkhead_1
242	GATA	C2H2	GATA1+TAL1_MA0140.2
113	GC-tract	C2H2	KLF15_HUMAN.H11MO.0.A
